Cost high tariff,,,,,,,,,,,,,,,9.88Kč,9.88Kč,9.88Kč,9.88Kč,9.88Kč,9.88Kč,9.88Kč,9.88Kč,9.88Kč,9.88Kč,9.88Kč,9.88Kč,,9.88Kč,9.88Kč,9.88Kč,9.88Kč,9.88Kč,9.88Kč,7Kč,7Kč,7Kč,6Kč,6Kč,6Kč,,6.5Kč,6.5Kč,6.6Kč,6.6Kč,6.8Kč,6.8Kč,6.6Kč,6.6Kč,6.6Kč,6.6Kč,6.6Kč,6.6Kč,,,,,,,,,,,,,
Cost low tariff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8Kč,0.8Kč,0.8Kč,0.8Kč,0.8Kč,,,,,,,,,,,,,
Amount for BL,,,,,,,,,,,,,,,0Kč,"6,412Kč","5,533Kč","13,852Kč","17,715Kč","15,601Kč","13,358Kč","5,543Kč","5,987Kč","8,793Kč","7,173Kč","7,756Kč",,"6,946Kč","7,617Kč","7,963Kč","7,934Kč","8,418Kč","8,882Kč","7,469Kč","6,769Kč","6,153Kč","5,850Kč","4,722Kč","4,872Kč",,"4,849.0Kč","4,953.0Kč","4,996.2Kč","5,200.8Kč","5,929.6Kč","5,671.2Kč","7,273.2Kč","7,167.6Kč","5,563.8Kč","5,616.6Kč","4,441.8Kč","4,719.0Kč",,,,,,,,,,,,,
Amount for P&L,,,,,,,,,,,,,,,"31,231Kč","28,573Kč","26,202Kč","25,648Kč","24,858Kč","20,541Kč","24,572Kč","29,255Kč","19,780Kč","25,846Kč","26,212Kč","31,695Kč",,"27,289Kč","25,668Kč","26,992Kč","25,411Kč","21,123Kč","22,477Kč","21,644Kč","20,937Kč","14,413Kč","15,240Kč","15,354Kč","19,860Kč",,"20,501.0Kč","19,526.0Kč","19,496.4Kč","15,965.4Kč","13,960.4Kč","12,267.2Kč","19,140.0Kč","13,708.0Kč","13,338.6Kč","16,170.0Kč","19,067.4Kč","19,318.2Kč",,,,,,,,,,,,,
Comment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meter readings,7325,7403,7489,7594,7729,7855,7971,8159,8328,8432,8574,8688,8798,,8908,9020,9133,9243,9320,144,305,439,541,662,743,855,,936,1039,1153,1249,1360,1478,1627,1771,1871,1993,2074,2183,,2297,2407,2520,2650,2780,2874,3007,3127,3218,3321,3407,3505,,,,,,,,,,,,,
Total consumption,,78,86,105,135,126,116,188,169,104,142,114,110,,110,112,113,110,77,-9176,161,134,102,121,81,112,,81,103,114,96,111,118,149,144,100,122,81,109,,114,110,113,130,130,94,133,120,91,103,86,98,,,,,,,,,,,,,
Consumption BL,,26,44,50,61,52,46,96,80,44,50,39,38,,39,35,41,39,40,75,84,65,48,60,41,50,,39,50,53,50,57,61,92,76,52,63,43,57,,50,47,47,55,58,45,58,55,40,48,36,40,,,,,,,,,,,,,
Consumption Revelton,,52,42,55,74,74,70,92,89,60,92,75,72,,71,77,72,71,37,69,77,69,54,61,41,62,,46,57,64,50,57,61,61,72,52,63,43,57,,67,66,66,75,72,49,75,65,51,55,50,58,,,,,,,,,,,,,
Cost,,73 Kč,90 Kč,90 Kč,90 Kč,90 Kč,90 Kč,90 Kč,90 Kč,90 Kč,90 Kč,120 Kč,120 Kč,,120 Kč,120 Kč,120 Kč,120 Kč,120 Kč,120 Kč,120 Kč,120 Kč,120 Kč,120 Kč,120 Kč,120 Kč,,120Kč,120Kč,120Kč,120Kč,120Kč,120Kč,120Kč,90Kč,90Kč,90Kč,90Kč,90Kč,,89Kč,89Kč,89Kč,89Kč,89Kč,89Kč,89Kč,89Kč,89Kč,89Kč,89Kč,89Kč,,,,,,,,,,,,,
(+) Fixed cost,, -, -, -, -, -, -, -, -, -, -, -, -,, -, -, -, -, -, -, -, -, -, -, -, -,,400Kč,400Kč,400Kč,400Kč,400Kč,400Kč,400Kč,400Kč,400Kč,400Kč,400Kč,400Kč,,335 Kč,335 Kč,335 Kč,335 Kč,335 Kč,335 Kč,335 Kč,335 Kč,335 Kč,335 Kč,335 Kč,335 Kč,,,,,,,,,,,,,
Total payment,,"5,694 Kč","7,740 Kč","9,450 Kč","12,150 Kč","11,340 Kč","10,440 Kč","16,920 Kč","15,210 Kč","9,360 Kč","12,780 Kč","13,680 Kč","13,200 Kč",,"13,200Kč","13,440Kč","13,560Kč","13,200Kč","9,240Kč","17,280Kč","19,320Kč","16,080Kč","12,240Kč","14,520Kč","9,720Kč","13,440Kč",,"10,120Kč","12,760Kč","14,080Kč","11,920Kč","13,720Kč","14,560Kč","18,280Kč","13,360Kč","9,400Kč","11,380Kč","7,690Kč","10,210Kč",,"10,481Kč","10,125Kč","10,392Kč","11,905Kč","11,905Kč","8,701Kč","12,172Kč","11,015Kč","8,434Kč","9,502Kč","7,989Kč","9,057Kč",,,,,,,,,,,,,
Payment BL,,"1,894Kč","3,940Kč","4,520Kč","5,500Kč","4,640Kč","4,140Kč","8,620Kč","7,210Kč","3,960Kč","4,480Kč","4,645Kč","4,508Kč",,"4,670Kč","4,200Kč","4,880Kč","4,650Kč","4,770Kč","8,970Kč","10,090Kč","7,850Kč","5,720Kč","7,240Kč","4,860Kč","5,990Kč",,"4,620Kč","5,960Kč","6,380Kč","5,960Kč","6,860Kč","7,280Kč","11,000Kč","6,860Kč","4,700Kč","5,690Kč","3,845Kč","5,105Kč",,"4,481Kč","4,225Kč","4,225Kč","5,063Kč","5,330Kč","4,173Kč","5,330Kč","5,063Kč","3,728Kč","4,440Kč","3,372Kč","3,728Kč",,,,,,,,,,,,,
Amount for P&L,,"3,800Kč","3,800Kč","4,930Kč","6,650Kč","6,700Kč","6,300Kč","8,300Kč","8,000Kč","5,400Kč","8,300Kč","9,035Kč","8,692Kč",,"8,530Kč","9,240Kč","8,680Kč","8,550Kč","4,470Kč","8,310Kč","9,230Kč","8,230Kč","6,520Kč","7,280Kč","4,860Kč","7,450Kč",,"5,500Kč","6,800Kč","7,700Kč","5,960Kč","6,860Kč","7,280Kč","7,280Kč","6,500Kč","4,700Kč","5,690Kč","3,845Kč","5,105Kč",,"6,000Kč","5,900Kč","5,900Kč","6,843Kč","6,576Kč","4,529Kč","6,843Kč","5,953Kč","4,707Kč","5,063Kč","4,618Kč","5,330Kč",,,,,,,,,,,,,
Comment,,"Счетчик на воду общий, потребление между БД и Revelton делится вручную",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,перерасчет,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1186,,,,,,,,,,,,,,
Heating Gj (total),732,807,836,873,903,917,2,15,28,43,67,102,156,,197,240,274,302,319,330,343,355,367,388,414,455,,496,526,556,573,588,599,611,622,633,656,689,731,,777,825,859,880,899,908,920,930,944,975,1019,1070,,,,,,,,,,,,,
Readings Heat Apts M1,1376,1405,1430,1462,1488,1503,1515,1530,1546,1562,1587,1614,1645,,1674,1701,1729,1752,1768,1768,1768,1768,1770,1795,1820,1850,,1879,1906,1933,1961,1976,1976,1976,1976,1978,2000,2022,2049,,2076,2103,2131,2145,2164,2165,2165,2165,2175,2204,2232,2263,,,,,,,,,,,,,
