,Total for March,,,,Total for April,,,, Май (1.05-8.05),,, Май (9.05-15.05),,, Май (16.05-22.05),,, Май (23.05-29.05),,,,Total for May,,,,,,Июнь (1.06-7.06),,,Июнь (8.06-14.06),,,Июнь (15.06-21.06),,,Июнь (22.06-28.06),,,Итого за Июнь,,,,,Total for June,,,,Total for July,,,,Total for August,,,,Total for September,,,,Total for October,,,,,,,,,,,,
,kg,per kg,Qty sets,Per set,kg,per kg,Qty sets,Per set,за кг,К-во комп.,За комп,за кг,К-во комп.,За комп,за кг,К-во комп.,За комп,за кг,К-во комп.,За комп,,kg,per kg,Qty sets,Per set,"Цель 
на май","Глобальная 
цель",за кг,К-во комп.,За комп,за кг,К-во комп.,За комп,за кг,К-во комп.,За комп,за кг,К-во комп.,За комп,за кг,К-во комп.,За комп,за кг,За комп,kg,per kg,Qty sets,Per set,kg,per kg,Qty sets,Per set,kg,per kg,Qty sets,Per set,kg,per kg,Qty sets,Per set,kg,per kg,Qty sets,Per set,,,,,,,,Target for June,Global Goal
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.471637427,512,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,-,,,,,"sostajanije, srok sluzhbi",,,,,,,,,,,,,,,,,,,3.582420635,218,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,-,,,,,temperatura,,,,,,,,,,,,,,,,,,,3.042281106,582,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,-,,,,,skorostj katka,,,,,,,,,,,,,,,,,,,1.922509225,288,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,-,,,,,skoljko raz propuskajem cherez katok (po edenicam belja),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,- ,,,,,sostojanije belja v nachalje,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,kg avg.,,Avg. sets,,,,,,,,,,,,,-,,,,,vlazhnostj pomeshenije (izmeritj),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100 kg = h,,1 kg,,,,,,,,,
,,,,,ML,€0.39,,€0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,FL,€0.44,,€1.10,,,,,,,,,,,,,,,,,,tehnika glazhke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anmut,8.54,,,,,,,,,,
,,,,,Praga,€0.50,,€1.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The month is closing, laundry cannot be processed in another month — we need to close the month!",,,,,,,,,,,,,,,,,Tallin,6.30,,,,,,,,,,
,,,,,ЯЛТСКАЯ ,€0.53,,€1.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ML ,7.9,,,,,,,,,,
,,,,,Масарика,€0.40,,€1.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FL,8.35,,,,,,,,,,
,,,,,Таллинн ,€0.33,,€1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Praga,7.04,,,,,,,,,,
,,,,,Рига,€1.35,,€2.66,,,,,,,,,,,,,,,,,,shochiki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jaltskaja,8.38,,,,,,,,,,
,,,,,Anmut ,€0.45,,€1.10,,,,,,,,,,,,,,,,,,reguljator na poroshok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Masarika,6.67,,,,,,,,,,
