Tattoo salon consumption,,,,,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,51.5,97.4,136.1,64,,431,145,170,252,39,45,56,54,55,95,64,81,,,,,,,,,,,,,
consumption,,,,,3568,4054,3248,3867,4014,2832,4439,4153,4477,,4451,4508,3497,678,361,1845,3753,4174,2353,2209,2196,2242,,2135,2074,2623,2562,2253,2676,3610,3919,3178,3300,3525,3576,,3789,3771,4330,4440,3513,3527,4006,4561,3486,4456,4673,4631,,4545,4748,4291,4212,4214,3559,4559,4361,4132,4551,4441,5034,,-,-,-,-,-,-,-,22,169,246,241,190,,199,251,288,275,331,219,218,185,171,219,181,206,,,,,,,,,,,,,
Total consumption,,,,,4.50Kč,4.50Kč,4.50Kč,4.50Kč,4.50Kč,4.50Kč,4.50Kč,4.50Kč,4.50Kč,,4.50Kč,4.50Kč,4.50Kč,4.50Kč,4.50Kč,4.50Kč,4.50Kč,4.50Kč,4.50Kč,4.50Kč,4.50Kč,4.50Kč,,4.50Kč,4.50Kč,4.50Kč,4.50Kč,4.50Kč,4.50Kč,4.50Kč,4.50Kč,4.50Kč,4.50Kč,4.50Kč,4.50Kč,,4.50Kč,4.50Kč,4.50Kč,4.50Kč,4.50Kč,4.50Kč,4.50Kč,4.50Kč,4.50Kč,6.10Kč,6.10Kč,6.10Kč,,4.50Kč,4.50Kč,4.50Kč,4.50Kč,4.50Kč,4.50Kč,4.50Kč,5.30Kč,5.30Kč,5.30Kč,5.30Kč,5.30Kč,,5036,5474,4306,5014,4400,3873,5151,5048,4646,4990,4529,5328,,5185,5107,5418,5031,4937,3592,4474,4753,3910,4605,4650,4928,,,,,,,,,,,,,
Cost,,,,,"16,056 Kč","18,243 Kč","14,616 Kč","17,402 Kč","18,063 Kč","12,744 Kč","19,976 Kč","18,689 Kč","20,147 Kč",,"20,030 Kč","20,286 Kč","15,737 Kč","3,051 Kč","1,625 Kč","8,303 Kč","16,889 Kč","18,783 Kč","10,589 Kč","9,941 Kč","9,882 Kč","10,089 Kč",,"9,608 Kč","9,333 Kč","11,804 Kč","11,529 Kč","10,139 Kč","12,042 Kč","16,245 Kč","17,636 Kč","14,301 Kč","14,850 Kč","15,863 Kč","16,092 Kč",,"17,051 Kč","16,970 Kč","19,485 Kč","19,980 Kč","15,809 Kč","15,872 Kč","18,027 Kč","20,525 Kč","15,687 Kč","27,182 Kč","28,505 Kč","28,249 Kč",,"20,453 Kč","21,366 Kč","19,310 Kč","18,954 Kč","18,963 Kč","16,016 Kč","20,516 Kč","23,113 Kč","21,900 Kč","24,120 Kč","23,537 Kč","26,680 Kč",,4.65Kč,4.65Kč,4.65Kč,4.65Kč,4.65Kč,6.00Kč,7.50Kč,7.50Kč,5.00Kč,5.50Kč,5.50Kč,5.50Kč,,6.00Kč,6.00Kč,6.10Kč,6.10Kč,6.10Kč,6.10Kč,6.10Kč,6.10Kč,6.10Kč,6.10Kč,6.10Kč,6.10Kč,,,,,,,,,,,,,
Amount for P&L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"23,417 Kč","25,454 Kč","20,023 Kč","23,315 Kč","16,549 Kč","23,238 Kč","38,633 Kč","37,695 Kč","22,385 Kč","26,092 Kč","23,584 Kč","28,259 Kč",,"29,916 Kč","29,136 Kč","33,050 Kč","30,689 Kč","30,116 Kč","21,911 Kč","27,291 Kč","28,993 Kč","23,851 Kč","28,091 Kč","28,365 Kč","30,061 Kč",,,,,,,,,,,,,
Comment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Switch to spot pricing and lowering breaker capacity,,,,,,,5185,5107,5418,5031,4937,3592,4474,4753,3910,4605,4529,5328,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water ,,,,,,13645,13737,13876,14025,14148,14271,14344,14510,,14592,14700,14751,14752,14755,14788,14906,15045,15099,15116,15141,15179,,15199,15221,15255,15320,15373,15427,15573,15702,15778,15863,15935,16008,,16076,16168,16276,16400,16491,16580,16716,16860,16956,17114,17222,17328,,17435,17562,17665,17787,17903,17989,18139,18277,18374,18482,18566,18687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meter readings,,,,,,,92,139,149,123,123,73,166,,82,108,51,1,3,33,118,139,54,17,25,38,,20,22,34,65,53,54,146,129,76,85,72,73,,68,92,108,124,91,89,136,144,96,158,108,106,,107,127,103,122,116,86,150,138,97,108,84,121,,18781,18890,18989,19091,19194,19282,19409,19541,19632,19748,19824,19945,,20050,20159,20275,20381,20541,20608,20707,20805,20875,20942,80,166,,-166,0,0,0,0,0,0,0,0,0,0,0
Consumption,,,,,,,63.05Kč,63.05Kč,63.05Kč,63.05Kč,63.05Kč,63.05Kč,63.05Kč,,63.05Kč,63.05Kč,63.05Kč,63.05Kč,63.05Kč,63.05Kč,63.05Kč,63.05Kč,63.05Kč,63.05Kč,63.05Kč,63.05Kč,,63.05Kč,63.05Kč,63.05Kč,63.05Kč,63.05Kč,63.05Kč,63.05Kč,74.05Kč,74.05Kč,74.05Kč,74.05Kč,74.05Kč,,74.05Kč,74.05Kč,74.05Kč,74.05Kč,74.05Kč,74.05Kč,74.05Kč,74.05Kč,74.05Kč,100Kč,100Kč,100Kč,,84.3Kč,84.3Kč,84.3Kč,84.3Kč,84.3Kč,84.3Kč,84.3Kč,84.3Kč,84.3Kč,84.3Kč,84.3Kč,84.3Kč,,94,109,99,102,103,88,127,132,91,116,76,121,,105,109,116,106,160,67,99,98,70,92,80,86,,,,,,,,,,,,,
